chunk_id,source_file,chunk_index,chunk_text
19,coursera.pdf,18," compet itors, and employees. no employee should take unfair advantage of anyone through ma nipulation, concealment, abuse of privileged information, misrepresentation of material facts, or any other unfair business practice. payments or gifts from others under no circumstances may employees, officers, directors, agents, or contractors accept any offer, payment, promise to pay, or authorizatio n to pay any money, gift, or anything of value from customers, vendors, consultants, or others that is "
20,coursera.pdf,19,"ustomers, vendors, consultants, or others that is perceived as intended, directly or indirectly, to influence any business decision, any act or failure to act, any commitment of fraud, or opportunity for the commission of any fraud. in expensive gifts, infrequent business meals, celebratory events, and entertainment, provided that they are not excessive or create an appearance of impropriety, do not violate this policy. questions regarding whether a particular payment or gift violates this polic"
21,coursera.pdf,20,"r a particular payment or gift violates this policy are to be directed to th e general counsel, chief financial officer or chief people officer of the company. gifts given by the company to suppliers or cust omers or received from s uppliers or customers should always be appropriate to the circumstances and should ne ver be of a kind that could create an appearance of impropriety. the nature and cost must always be accurately recorded in the company’s books and records. you are expected to compl"
22,coursera.pdf,21,"any’s books and records. you are expected to comply with th e company’s foreign corrupt practices act manual and gift policy. health and safety the company strives to provide a safe and hea lthy work environment. all employees have responsibility for maintaining a safe and healthy workplace for al l other employees by following 4 the company’s safety and health rules, policies and practices, and repor ting accidents, injuries, and unsafe equipment, practices, or conditions. insider trading you a"
23,coursera.pdf,22,"t, practices, or conditions. insider trading you are not permitted to use, share, or dissemi nate confidential information for stock trading purposes or for any other purpose except the c onduct of our business. to use confidential information for personal financial benefit or to “tip” others who might make an investment decision on the basis of this information is no t only unethical, but is also illegal. you are expected to comply with the company’s insider trading and communications policy. p"
24,coursera.pdf,23,"any’s insider trading and communications policy. protection and proper use of company assets no secret or unrecorded fund of company assets or cash shall be established or maintained for any purpose. anyone spending or obligating company funds should be certain that the transaction is properly and appropriately documented and that the company receives appropriate value in return. all employees should endeavor to protect the company’s assets and ensure their e fficient use. theft, carelessness, a"
25,coursera.pdf,24,"nsure their e fficient use. theft, carelessness, and waste have a direct impact on the company’ s profitability. any suspected incident of fraud or theft should be immediately reported to the general counsel, chief financial officer, and chief people officer of the company for investigation. company equipment should not be used for non-company business, though incidental personal use may be permitted. record keeping the company requires honest and accurate recording and reporting of information "
26,coursera.pdf,25,"d accurate recording and reporting of information in order to make responsible business decisi ons. if you use a business expense account, expenses to be reimbursed must be documented and recorded accurately. if you are not sure whether an expense is appropriate, ask your supervisor. all of the company’s books, records, accounts, and financial statements must be maintained in reasonable detail, must appropriately reflect the company’s transactions, and must conform both to applicable legal requi"
27,coursera.pdf,26,"s, and must conform both to applicable legal requirements and to the company’s system of internal controls. all company business data, records, and reports must be prep ared truthfully and accurately. the company’s business records must be maintained for the pe riods specified in the company’s applicable record retention policies. employees who contribute to or prepare the company’s financial statements, public filings, submissions, or communications should do so in accordance with the following"
28,coursera.pdf,27,"ions should do so in accordance with the following guidelines: ● all accounting records, as well as reports produced from those records, must be prepared in accordance with the laws of each applicable jurisdiction. ● all records must fairly and accurately reflec t the transactions or occurrences to which they relate. 5 ● all records must fairly and accu rately reflect, in reasonable detail, the company’s assets, liabilities, revenues, and expenses. ● the company’s accounting records must not con"
29,coursera.pdf,28,"s. ● the company’s accounting records must not contain any false or intentionally misleading entries. ● no transactions should be in tentionally misclassi fied as to accounts, departments, or accounting periods. ● all transactions must be supported by accura te documentation in reasonable detail and recorded in the proper account and in the proper accounting period. ● no information should be concealed from independent auditors. ● compliance with the company’s system of internal accounting contr"
30,coursera.pdf,29," the company’s system of internal accounting controls is required. business records and communications often b ecome public, and employees should avoid exaggeration, derogatory remarks, guesswork, or inappropriate ch aracterizations of people and companies that can be misunderstood. this app lies equally to e-mail, internal memos, and formal reports. implementation violations of this code or of any direction given by ma nagement in order to effect the provisions, goals, and aims of th is code ma"
31,coursera.pdf,30,"t the provisions, goals, and aims of th is code may result in disciplinary action, up to and including termination of employment. waiver any waiver of this code for executive officers or directors or any waiver of the code of ethics for senior financial officers may be made only by the board, or a committee of the board responsible for corporate governance, and will be promptly disclosed as required by law. reporting violations of this code employees are responsible for being aware of the co rpo"
32,coursera.pdf,31,"yees are responsible for being aware of the co rporate policies applicable to their activities and to comply with them fully. if you become aware of illegal activit y, unethical behavior, a violation of this code, or believe that a violation may take place in the future, you must promptly report the matter. failure to report a known violation allows misconduct to go unremedied and is itself grounds for discipline. ordinarily, the report may be made to the employee’s immediate supervisor who, in "
33,coursera.pdf,32,"de to the employee’s immediate supervisor who, in turn, must report it to the general counsel, chief financial officer, and chief people officer of the company. if the report pertains to co ncerns regarding questionable accounting or auditing matters, th e employee should direct the repor t to the chair of the audit committee of the board as described in the company’s policy entitled “procedures for the reporting of questionable accounting and auditing matters.” ● employees may report evidence o"
34,coursera.pdf,33,"diting matters.” ● employees may report evidence of wrongdoing, complaints, or concerns relating to accounting and auditing matters to the chair of the audit committe e at any time. this report 6 may be made in person or in writing, and ma y be anonymous, at the employee’s discretion, at lighthouse-services.com/coursera. alternativel y, employees in the usa and canada can anonymously call 833-489-0008; spanish-speaking em ployees in the usa, canada, and mexico can call 800-216-1288 (from mexico,"
35,coursera.pdf,34,"da, and mexico can call 800-216-1288 (from mexico, please dial 01-800-681-5340); and employees outside of north america should call 800- 603-2869. you must dial country access code first; the hotline provider, lighthouse, has provided access codes and dialing instructions on their website. alternatively contact reports@l ighthouse-services.com and incl ude our company name in your message. employees submitting a report on an anonymous basis are strongly encouraged to keep a copy of the report (i"
36,coursera.pdf,35,"trongly encouraged to keep a copy of the report (if made in writ ing) and a record of the time and date of their submission, as well as a description of the matter as reported if the report was not in writing. employees are encouraged to provide as much specific information as possible, including names, dates, places, and events that took place, rele vant documents, and the employee’s perception of why the incident(s) may be misconduct. if possible, the employee should provide a means by which s"
37,coursera.pdf,36,"le, the employee should provide a means by which she/he can be contacted in the event that an investigator needs to follow-up or wants to report back to the employee. retaliation for reporting a federal offense is i llegal under federal law an d prohibited under this code. such retaliation will result in discipline up to and including termination of employment and may also result in criminal prosecution. th e employee is protected fro m retaliation even if the investigator does not agree that th"
38,coursera.pdf,37,"on even if the investigator does not agree that there has been a violation. however, if the employee making the report was involved in improper activity, th e fact that he or she reported it will not necessarily prevent him or her from being disciplined for his or her participation in the violation. in these circumstances, the company may c onsider the employee’s conduct in promptly reporting the information as a mitigating factor in any disciplinary decision. in addition, if an employee files a"
39,coursera.pdf,38,"nary decision. in addition, if an employee files a report that the employee knows to be false or should know to be false, the employee may be disciplined for the employee’s participation in making the false report. what to do if you have questions or are unsure about a transaction we must all work to ensure prom pt and consistent action agains t violations of this code. however, in some situations, it is difficult to know right from wrong. since we cannot anticipate every situation that will ari"
40,coursera.pdf,39,"we cannot anticipate every situation that will arise, it is important that we have a wa y to approach a new question or problem. these are the steps to keep in mind: ● always ask first, act later. if you are unsure of what to do in any situation, seek guidance from your supervisor or the general counsel, chie f financial officer or chief people officer of the company before you act. ● consider whether or not you have all the facts. in order to reach the right solutions, you must be as fully info"
41,coursera.pdf,40,"ach the right solutions, you must be as fully informed as possible. however, you shoul d not investigat e any potential violations of this code. rather , refer the matter to the general counsel, chief financial officer, chief people officer, or chair of the audit co mmittee, or make a report through the company’s anonymous hotline at at 833-489-0008 or by visiting lighthouse-services.com/coursera. 7 ● ask yourself: what specifically am i being asked to do? does it seem unethical or improper? thi"
42,coursera.pdf,41,"ked to do? does it seem unethical or improper? this will enable you to focus on th e specific question you are faced with, and the alternatives you have. use your judgment and common sense; if something seems unethical or improper, it probably is. ● discuss the problem with your s upervisor. this is the basic guidance for all situations. in many cases, your supervisor will be mo re knowledgeable about the question, and will appreciate being brought into the decision-making process. ● seek help f"
43,coursera.pdf,42,"ht into the decision-making process. ● seek help from company resources. in the ev ent it is inappropriate to discuss an issue with your supervisor, or if you do not feel comfortabl e approaching your supe rvisor with your question, you may also contact the general counsel, chief fina ncial officer or chief people officer of the company. ● you may report ethical violations in confiden ce and without fear of retaliation. if your situation requires that your identity be kept secret, your anonymity"
44,coursera.pdf,43," that your identity be kept secret, your anonymity will be protected. ● if you have any questions or uncertainties regarding this code or are unsure as to whether a transaction is consistent with this code, please contact the general counsel, chief financial officer or chief people officer of the company. accountability for adherence to this code the board shall determine, or designate appropriate persons to determine, appropriate actions to be taken in the event of violations of this c ode. suc"
45,coursera.pdf,44,"aken in the event of violations of this c ode. such actions shall be reasonably designed to deter wrongdoing and to promote accountability fo r adherence to this c ode, and shall include written notices to the individual involved that the board or its designee has determined that there has been a violation, and may in clude censure by the board or its designee, demotion or re- assignment of the individual i nvolved, suspension with or wit hout pay (as determined by the board or its designee), an"
46,coursera.pdf,45,"y (as determined by the board or its designee), and term ination of the individual’s employment or other service. 8 acknowledgment i have received and read the company’s code of business conduct and ethics. i understand the standards and policies containe d in the company’s code of business conduct and ethics and understand that there may be additional policies or laws specific to me depending on my role with the company. i further ag ree to comply with the company’s code of business conduct and"
47,coursera.pdf,46,"ly with the company’s code of business conduct and ethics. if i have questions concerning the meaning or a pplication of the company’s code of business conduct and ethics, any company policies, or th e legal and regulatory requirements applicable to my job, i know i can consult my manager or the general counsel, chief financial officer or chief people officer of the company, knowing that my questions or reports to these sources will be maintained in confidence. __________________________________"
48,coursera.pdf,47, in confidence. _________________________________________ name _________________________________________ signature _________________________________________ date
