"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Simple Family Members,Simple Family Member Jurisdictions,Extended Family Size,Extended Family Members,Extended Family Member Jurisdictions,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
28,US,B2,US 11752898 B2,138-295-268-568-891,2023-09-12,2023,US 202117472907 A,2021-09-13,US 202117472907 A,2021-09-13,Aircraft battery systems having heat activated thermal barriers,"A battery system includes a plurality of battery modules each formed from a plurality of battery cells. A shared cooling structure is thermally coupled to each of the battery modules. The shared cooling structure is configured to conduct heat relative to the battery modules. A thermal interface is disposed between the battery cells of each battery module and the shared cooling structure. Each thermal interface is configured to transition from a first thermal conductivity state to a second thermal conductivity state when heat generated by the respective battery cells exceeds a threshold level. The second thermal conductivity state is lower than the first thermal conductivity state such that after one of the thermal interfaces has transitioned from the first thermal conductivity state to the second thermal conductivity state, heat transfer from the respective battery cells to the shared cooling structure is reduced.",TEXTRON INNOVATIONS INC,FAN YUE;;HULL MICHAEL RAYMOND;;DAILEY ZACHARY EDWIN,BELL TEXTRON INC (2021-09-13);;TEXTRON INNOVATIONS INC (2022-01-02),https://lens.org/138-295-268-568-891,Granted Patent,yes,9,2,3,015-746-888-958-436;;138-295-268-568-891;;124-853-346-223-65X,US;;EP,3,015-746-888-958-436;;138-295-268-568-891;;124-853-346-223-65X,US;;EP,0,H01M10/625;;H01M10/052;;H01M10/613;;H01M10/617;;H01M10/637;;H01M10/653;;H01M10/6554;;H01M10/6563;;H01M50/249;;H01M50/269;;Y02E60/10;;B60L58/26;;B60L2200/10;;B64C29/0033;;B64D13/006;;H01M10/625;;H01M10/6567;;H01M2220/20,B60L58/26;;B64C29/00;;B64D13/00;;H01M10/625;;H01M10/6567,,2,0,,,"European Examination Report; Application No. 22187991; European Patent Office; dated Feb. 17, 2023.;;European Search Report; Application No. 22187991; European Patent Office; dated Feb. 6, 2023.",ACTIVE
29,US,B2,US 11912164 B2,163-192-086-202-906,2024-02-27,2024,US 202117485876 A,2021-09-27,US 202117485876 A,2021-09-27,Electrified vehicle with battery thermal management system configured to adjust temperature thresholds based on battery state of health,"This disclosure relates to an electrified vehicle with a thermal management system for a battery. A corresponding method is also disclosed. An example electrified vehicle includes a battery and a thermal management system configured to thermally condition the battery at one of a plurality of thermal conditioning levels. Each of the thermal conditioning levels corresponds to a respective one of a plurality of battery temperature thresholds. The electrified vehicle further includes a controller. The controller is configured to determine which of the plurality of battery temperature thresholds is met or exceeded based on a temperature of the battery and to command the thermal management system to thermally condition the battery at corresponding one of the plurality of thermal conditioning levels. Further, when a state of health of the battery is outside a predefined range, the controller is configured to adjust each of the plurality of battery temperature thresholds.",FORD GLOBAL TECH LLC,DUAN XIAOHONG NINA;;ZHAO YANAN;;KUANG MING LANG,FORD GLOBAL TECHNOLOGIES LLC (2021-09-24),https://lens.org/163-192-086-202-906,Granted Patent,yes,6,0,4,163-192-086-202-906;;109-752-621-259-23X;;174-589-558-750-367;;167-986-680-507-956,US;;DE;;CN,4,163-192-086-202-906;;109-752-621-259-23X;;174-589-558-750-367;;167-986-680-507-956,US;;DE;;CN,0,Y02T10/70;;B60L58/16;;B60L58/26;;B60L2240/545;;H01M10/6563;;H01M10/63;;H01M10/625;;H01M10/613;;H01M10/486;;H01M10/633;;H01M2220/20;;B60L58/26;;B60L58/16;;H01M10/613;;H01M10/625;;H01M2220/20;;H01M10/486;;H01M10/6563;;B60L2240/545;;H01M10/633;;H01M2010/4271,B60L58/26;;B60L58/16;;H01M10/42;;H01M10/48;;H01M10/613;;H01M10/625;;H01M10/633;;H01M10/6563,,0,0,,,,ACTIVE
30,US,B2,US 10892454 B2,177-837-339-990-474,2021-01-12,2021,US 201816181462 A,2018-11-06,TW 106216518 U;;US 201762443865 P,2017-01-09,Battery module with thermal dissipation and thermal runaway prevention,"A battery module with thermal dissipation and thermal runaway prevention is provided, including at least one battery and a fireproof thermal insulation layer. The at least one battery may include a plurality of battery cells electrically connected through conductors. The fireproof thermal insulation layer includes a plurality of battery holes for disposing the battery cells therein and a plurality of air holes vertically penetrating the fireproof thermal insulation layer. A side of each of the battery cells is sleeved in the fireproof thermal insulation layer, and the plurality of air holes are provided between adjacent ones of the plurality of battery holes. The fireproof thermal insulation layer has a heat transfer coefficient that decreases with an increase in the temperature of the fireproof thermal insulation layer.",IND TECH RES INST,YEH SHENG-FA,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE (2018-11-08),https://lens.org/177-837-339-990-474,Granted Patent,yes,21,0,5,175-588-029-154-078;;086-559-818-984-569;;177-837-339-990-474;;169-635-662-233-937;;167-892-170-260-204,US;;JP;;CN;;TW,5,175-588-029-154-078;;086-559-818-984-569;;177-837-339-990-474;;167-892-170-260-204;;169-635-662-233-937,US;;JP;;CN;;TW,0,H01M10/658;;H01M10/643;;H01M50/213;;H01M50/227;;H01M50/24;;H01M50/271;;H01M2200/00;;Y02E60/10;;H01M50/24;;H01M10/643;;H01M10/658;;H01M50/213;;H01M50/227;;H01M50/271;;H01M2200/00,H01M10/643;;H01M10/658;;H01M50/213;;H01M50/227;;H01M50/24;;H01M50/244;;H01M50/258;;H01M50/271;;H01M50/383,,6,2,012-322-954-748-659;;073-639-035-683-995,10.1149/1.3065083;;10.1016/j.jpowsour.2012.09.035,"Taiwanese Invalidation for Taiwanese Patent Application No. 106216518 dated Jul. 4, 2019.;;Muller, et al. “Modeling Thermal Abuse in Transportation Batteries”, Sandia Report Sand2012-7816 Unlimited Release Printed September; Jan. 1, 2012.;;Han, “Transport and Kinetic Phenomena Linked to Poer Performance of Lithium-Ion Batteries”, A dissertation submitted in partial fulfillment of the requirements for the degree of Doctor of Philosophy (Mechanical Engineering) in the University of Michigan; Jan. 1, 2014; 17-59.;;Subramanian, et al. “Mathematical Model Reformulation for Lithium-Ion Battery Simulations: Galvanostatic Boundary Conditions”, Journal of The Electrochemical Society; Jan. 1, 2009; 156 (4) A260-A271.;;Zhu, et al. “Development of a theoretically based thermal model for lithium ion battery pack”, Journal of Power Sources vol. 223, Feb. 1, 2013; Jan. 1, 2013; 155-164.;;Gu, et al. “Thermal-Electrochemical Coupled Modeling of a Lithium-ion Cell”, GATE Center for advanced Energy Storage, Department of Mechanical Engineering & Pennsylvania Transportation Institute, The Pennsylvania State University.",ACTIVE
31,US,B2,US 11772500 B2,165-222-656-596-01X,2023-10-03,2023,US 202117322133 A,2021-05-17,US 202117322133 A,2021-05-17,Traction battery pack thermal management assembly,"A traction battery assembly includes a thermal exchange device of a battery pack, and battery arrays disposed adjacent the thermal exchange device. A phase change material is secured to an area of the thermal exchange device. A method of managing thermal energy within a battery pack includes, among other things, positioning battery arrays against a thermal exchange device, and securing a phase change material to the thermal exchange device. The phase change material is configured to take on thermal energy from at least one of the battery arrays.",FORD GLOBAL TECH LLC,BODDAKAYALA BHASKARA RAO;;SMITH THOMAS EDWARD;;WHETSTONE HOLLY M;;EFTEKHARI MOHAMMADREZA,FORD GLOBAL TECHNOLOGIES LLC (2021-05-17),https://lens.org/165-222-656-596-01X,Granted Patent,yes,42,0,4,129-568-802-434-127;;170-646-954-771-904;;031-057-633-815-261;;165-222-656-596-01X,US;;DE;;CN,4,129-568-802-434-127;;170-646-954-771-904;;031-057-633-815-261;;165-222-656-596-01X,US;;DE;;CN,0,H01M10/613;;H01M10/625;;H01M10/6556;;H01M10/6568;;H01M10/659;;B60L58/26;;B60L50/64;;B60L2240/545;;H01M10/613;;H01M10/625;;H01M10/653;;H01M10/6552;;H01M10/6554;;H01M10/6556;;H01M10/6557;;H01M10/6567;;H01M10/6568;;H01M10/659;;H01M50/204;;H01M50/209;;H01M2220/20;;Y02E60/10;;B60L50/64;;B60L58/26;;F28D15/0275;;H01M10/613;;H01M10/625;;H01M10/6552;;H01M10/6567;;H01M2220/20,B60L50/64;;B60L58/26;;F28D15/02;;H01M10/613;;H01M10/625;;H01M10/6552;;H01M10/6567,,0,0,,,,ACTIVE
32,US,B2,US 11626627 B2,099-972-025-093-556,2023-04-11,2023,US 202017030366 A,2020-09-23,US 202017030366 A,2020-09-23,Method and system for preventing battery thermal runaway,"A method and system for preventing battery thermal runaway are provided. The method includes: detecting or predicting whether there is a thermal runaway risk for each battery cell or battery module of a battery pack; and in response to detecting or predicting that there is a thermal runaway risk for at least one battery cell or battery module of the battery pack, transferring battery energy of the at least one battery cell or battery module to the battery pack or another battery pack as thermal energy or electric energy.",GUANGZHOU AUTOMOBILE GROUP CO,LI XIAOHUI;;YANG BOZHI;;ZHANG CHEN;;ZHU RUIMING,,https://lens.org/099-972-025-093-556,Granted Patent,yes,3,0,5,168-315-322-723-607;;179-505-866-189-840;;013-560-572-707-173;;099-972-025-093-556;;025-619-085-569-665,US;;CN;;WO,5,168-315-322-723-607;;179-505-866-189-840;;013-560-572-707-173;;099-972-025-093-556;;025-619-085-569-665,US;;CN;;WO,0,H01M10/425;;H01M10/443;;H01M10/482;;H01M10/613;;H01M10/63;;H01M10/635;;H01M10/6568;;H01M10/6571;;H01M10/667;;H01M2010/4278;;H01M2200/106;;Y02E60/10;;H01M10/482;;H01M10/425;;H01M10/44;;H01M10/443;;H01M10/63;;H01M10/635;;H01M10/6568;;H01M10/6571;;H01M10/667;;H01M2200/106;;H02J7/00309,H01M10/48;;H01M10/42;;H01M10/44;;H01M10/63;;H01M10/635;;H01M10/6568;;H01M10/6571;;H01M10/667;;H02J7/00,,0,0,,,,ACTIVE
33,US,B2,US 11101523 B2,163-938-710-132-453,2021-08-24,2021,US 202017133370 A,2020-12-23,CN 201920620835 U;;CN 2019094388 W,2019-04-30,Battery pack,"The present application relates to a battery pack. The battery pack comprises: two or more battery modules, each of the battery modules comprising a plurality of battery cells which are stacked in sequence, wherein each of the battery cells is provided with an explosion-proof valve; the battery pack further comprising a thermal alarm device and a battery management system, wherein the thermal alarm device is arranged corresponding to the explosion-proof valve; the thermal alarm device and the battery management system are connected to form a circuit; and a break of the circuit can be caused when the explosion-proof valve is exploded. The present application provides the thermal alarm device, and when thermal runaway occurs in the battery module, a circuit break is formed between the thermal alarm device and the battery management system, thus the thermal runaway status of the battery pack can be accurately reflected.",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,ZHU XIANCHUN;;ZENG CHAO;;CAO HUA,CONTEMPORARY AMPEREX TECHNOLOGY (HONG KONG) LIMITED (2024-08-06);;CONTEMPORARY AMPEREX TECHNOLOGY CO. LIMITED (2020-11-30),https://lens.org/163-938-710-132-453,Granted Patent,yes,9,0,9,116-961-006-252-954;;010-482-101-718-108;;007-209-570-352-844;;001-982-937-622-274;;198-976-868-819-148;;163-938-710-132-453;;182-253-741-629-216;;184-903-566-679-164;;126-013-800-738-372,US;;EP;;HU;;PL;;CN;;WO,9,126-013-800-738-372;;010-482-101-718-108;;007-209-570-352-844;;001-982-937-622-274;;198-976-868-819-148;;163-938-710-132-453;;182-253-741-629-216;;184-903-566-679-164;;116-961-006-252-954,US;;EP;;HU;;PL;;CN;;WO,0,H01M50/244;;H01M10/425;;H01M10/48;;H01M10/482;;H01M50/278;;H01M50/375;;H01M50/383;;H01M50/581;;H01M2200/20;;Y02E60/10;;H01M50/383;;H01M10/425;;H01M10/48;;H01M10/486;;H01M50/204;;H01M50/249;;H01M50/375;;H01M50/581;;H01M2010/4271,H01M50/383;;H01M10/42;;H01M10/48;;H01M50/204;;H01M50/249;;H01M50/375;;H01M50/581,,0,0,,,,ACTIVE
34,US,B2,US 11978865 B2,136-257-035-284-329,2024-05-07,2024,US 202017289197 A,2020-06-04,KR 20190072383 A;;KR 2020007270 W,2019-06-18,Battery cell thermal conductivity measurement device and battery cell thermal conductivity measurement method using same,"The present invention relates to a device for measuring the thermal characteristics of a pouch-type battery cell, specifically, the thermal conductivity of the battery cell, and a thermal conductivity measurement method using the same. When the battery cell thermal conductivity measurement device of the present invention is used, the thermal conductivity of a pouch-type battery cell exhibiting anisotropic thermal conductivity characteristics can be separated along each direction and measured, and thereby stability according to the thermal characteristics of a product, which uses a battery cell for a rechargeable battery, can be efficiently evaluated.",LG CHEMICAL LTD;;LG ENERGY SOLUTION LTD,KIM KWANG MIN;;SONG WOO YOUNG,LG CHEM LTD (2021-03-22);;LG ENERGY SOLUTION LTD (2021-10-27),https://lens.org/136-257-035-284-329,Granted Patent,yes,28,0,12,104-526-412-386-753;;077-785-358-035-301;;066-517-282-319-286;;195-849-013-256-449;;020-700-959-327-314;;191-362-510-155-26X;;126-933-071-873-794;;105-782-454-749-275;;136-257-035-284-329;;077-080-771-637-285;;131-986-689-557-697;;024-888-984-708-285,US;;EP;;JP;;KR;;CN;;WO,12,104-526-412-386-753;;077-785-358-035-301;;066-517-282-319-286;;191-362-510-155-26X;;020-700-959-327-314;;195-849-013-256-449;;126-933-071-873-794;;105-782-454-749-275;;136-257-035-284-329;;077-080-771-637-285;;131-986-689-557-697;;024-888-984-708-285,US;;EP;;JP;;KR;;CN;;WO,0,G01N25/20;;G01N25/18;;Y02E60/10;;G01N25/20;;H01M10/6551;;H01M10/425;;H01M2010/4271;;H01M10/48;;G01R31/36;;H01M10/4285;;G01N25/18;;G01R31/36;;H01M50/105;;Y02E60/10;;H01M50/116;;H01M50/105;;G01N25/18;;G01N25/4826;;H01M10/4285;;H01M10/486,H01M10/42;;G01N25/18;;G01N25/48;;H01M10/48;;H01M50/105;;H01M50/116,,8,2,005-741-890-225-869;;100-567-040-472-487,10.1617/s11527-013-0192-4;;10.5574/ksoe.2015.29.2.169,"Extended European Search Report dated Nov. 9, 2021 issued in corresponding European patent application No. 20825793.1.;;[Thermal property measurement and application] Insulation material thermal conductivity evaluation technology, Hellot magazine article, Feb. 26, 2019, pp. 1-9 http://magazine.hellot.net/magz/article/articleDetail.do?flag=all&showType=showType1&articleId=ARTI_000000000035816&articleAllListSortType . . . .;;Dubois et al., “Design, Construction and Validation of a Guarded Hot Plate Apparatus for Thermal Conductivity Measurement of High Thickness Crop Based Specimens”, Materials and structures, 2013, pp. 1-21.;;Lee et al., “Experimental Study on Correction of Thermal Conductivity Obtained by Heat Flow Method using Commercial Guarded Hot Plate Method Apparatus”, Journal of Ocean Engineering and Technology 29(2), 169-174 Apr. 2015.;;International Search Report (with partial translation) and Written Opinion dated Sep. 11, 2020 issued in corresponding International Patent Application No. PCT/KR2020/007270.;;Office Action issued in the corresponding Japanese Patent Application No. 2021-524443 dated Jun. 6, 2022.;;Office Action issued in corresponding European Patent Application No. 20825793.1 dated Jan. 24, 2023.;;Office Action issued in Chinese Patent Application No. 202080005947.5 dated Feb. 24, 2024.",ACTIVE
35,US,B2,US 11217841 B2,113-935-315-974-856,2022-01-04,2022,US 201916422362 A,2019-05-24,US 201916422362 A;;KR 20150085755 A;;US 201514943918 A,2015-06-17,System and method for thermally managing battery,"A system and method for thermally managing a battery, capable of effectively performing thermal management (cooling or heating) of a battery is provided. The system for thermally managing a battery includes a thermal manager performing a thermal management of a battery by means of a coolant, a coolant circulation line being connected to the thermal manager, and a heat exchanger being installed to the coolant circulation line.",HYUNDAI MOTOR CO LTD;;KIA MOTORS CORP,LEE GUN GOO,HYUNDAI MOTOR COMPANY (2019-05-21);;KIA MOTORS CORPORATION (2019-05-21),https://lens.org/113-935-315-974-856,Granted Patent,yes,13,3,5,070-810-986-060-53X;;156-354-093-025-587;;014-226-120-203-401;;130-636-044-483-831;;113-935-315-974-856,US;;KR,5,156-354-093-025-587;;113-935-315-974-856;;014-226-120-203-401;;070-810-986-060-53X;;130-636-044-483-831,US;;KR,0,H01M10/6572;;H01M10/617;;H01M10/625;;H01M10/6563;;H01M2220/20;;Y02E60/10;;H01M10/6572;;H01M10/617;;H01M10/625;;H01M10/6563;;H01M2220/20,H01M10/6572;;H01M10/617;;H01M10/625;;H01M10/6563,,0,0,,,,ACTIVE
36,US,B2,US 12249698 B2,075-120-796-661-602,2025-03-11,2025,US 202117447609 A,2021-09-14,FR 2009305 A,2020-09-15,Method and device for managing the thermal behavior of a battery,"A method for managing the thermal behavior of a battery includes employing a thermal model of the battery. The model is configured to estimate, at each point in time, a thermal power generated by the battery depending on a measured electrical power passing through the battery. The thermal model includes a charging law and a discharging law, each law being based on the state of charge of the battery and on its temperature and incorporating the time constant of the battery. The method also includes controlling the thermal power generated by the battery.",COMMISSARIAT ENERGIE ATOMIQUE,GUILLET NICOLAS,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES (2021-09-17),https://lens.org/075-120-796-661-602,Granted Patent,yes,5,0,6,070-822-991-759-773;;032-613-177-626-950;;120-933-268-207-455;;075-120-796-661-602;;041-920-992-170-183;;043-208-064-463-075,US;;CA;;EP;;FR,6,070-822-991-759-773;;032-613-177-626-950;;120-933-268-207-455;;075-120-796-661-602;;041-920-992-170-183;;043-208-064-463-075,US;;CA;;EP;;FR,0,H01M10/0525;;H01M2010/4271;;H01M10/425;;H01M10/443;;H01M10/486;;H01M10/633;;H02J7/007194;;G01R31/392;;G01R31/382;;G01R31/374;;H02J7/0047;;Y02E60/10;;Y02T10/70;;G01R31/387;;G01R31/374;;H01M10/486;;H01M10/633;;H01M2010/4271;;G01R31/392;;H01M10/443;;H01M10/613,H01M10/48;;G01R31/374;;G01R31/387;;G01R31/392;;H01M10/42;;H01M10/44;;H01M10/613;;H01M10/633,,1,0,,,"French Preliminary Search Report issued May 18, 2021 in French Application 20 09305 filed on Sep. 15, 2020, 10 pages.",ACTIVE
37,US,B1,US 9500158 B1,045-073-420-636-41X,2016-11-22,2016,US 201213506943 A,2012-05-25,US 201213506943 A;;US 38062609 A,2009-03-02,Thermal engine for operation with noncombustible fuels,"A thermal engine includes a cylinder and piston and an insulated thermal battery including at least a thermal mass such as the engine block itself for storing and retaining heat to enhance or cause fluid expansion within the cylinder and drive the piston, the thermal battery optionally including an electrolyte chamber containing a thermal electrolyte for functioning as an electric thermal battery. Heat is stored in the thermal battery such as by activating electric resistance heating elements in the thermal mass. The stored heat either causes expansion of a non-combustible expansion fluid such as water or enhances the expansion of a combustible expansion fluid such as gasoline. Where the thermal battery is an electric thermal battery containing an electrolyte, the storage of heat also stores electricity which can be used to power an electric motor.",ANTHONY MICHAEL,ANTHONY MICHAEL,,https://lens.org/045-073-420-636-41X,Granted Patent,yes,3,9,1,045-073-420-636-41X,US,6,121-709-007-234-105;;163-491-840-782-229;;167-034-699-874-731;;045-073-420-636-41X;;005-619-961-111-588;;164-450-182-336-934,US,0,F01B17/04;;F01B29/06;;F01K21/02;;F02B5/00;;F02B53/02;;H01M10/399;;H01M14/00;;H01M2300/0048;;Y02E60/10;;Y02T10/12;;F02G1/043;;F01B17/04;;F01B29/06;;F01K21/02;;F02B5/00;;F02B53/02;;H01M10/399;;H01M14/00;;H01M2300/0048;;Y02T10/12,F01P1/00;;F01K15/00;;F02G1/043,,0,0,,,,ACTIVE
38,US,B2,US 11152654 B2,104-992-158-403-56X,2021-10-19,2021,US 201916435549 A,2019-06-09,CN 201920175872 U,2019-01-31,Battery pack,"The present application discloses a battery pack including a first battery and a second battery arranged in a stack, the second battery being closer to a center of the battery pack than the first battery in a stacking direction of the first battery and the second battery, wherein the first battery includes a first thermally conductive component and a first electrode assembly, the second battery includes a second thermally conductive component and a second electrode assembly, and a thermal conductivity of the second thermally conductive component is not lower than that of the first thermally conductive component. The battery pack provided by the present application may achieve temperature uniformity while keeping the overall temperature of the battery pack low.",DONGGUAN POWERAMP TECH LIMITED,LI YI;;CHEN XIAOMING,DONGGUAN AMPEREX TECHNOLOGY LIMITED (2019-04-11);;DONGGUAN POWERAMP TECHNOLOGY LIMITED (2020-02-27),https://lens.org/104-992-158-403-56X,Granted Patent,yes,7,0,6,164-631-089-097-388;;197-697-689-678-281;;092-477-134-155-506;;081-436-085-414-726;;063-991-848-445-986;;104-992-158-403-56X,US;;EP;;CN;;WO,6,197-697-689-678-281;;164-631-089-097-388;;092-477-134-155-506;;081-436-085-414-726;;063-991-848-445-986;;104-992-158-403-56X,US;;EP;;CN;;WO,0,H01M10/613;;H01M10/617;;H01M10/647;;H01M10/6551;;H01M10/6555;;H01M10/659;;H01M50/103;;H01M50/119;;H01M50/209;;H01M50/211;;H01M50/291;;Y02E60/10;;H01M10/613;;H01M10/617;;H01M10/625;;H01M10/647;;H01M10/6551;;H01M10/6555;;H01M50/209;;H01M50/211;;H01M50/291,H01M10/613;;H01M10/617;;H01M10/625;;H01M10/647;;H01M10/6551;;H01M10/6555;;H01M50/20;;H01M50/209;;H01M50/211;;H01M50/291,,1,0,,,Google Patents machine translation of JP2010272378A. (Year: 2010).,ACTIVE
39,US,B2,US 12246619 B2,045-819-065-787-130,2025-03-11,2025,US 202318116057 A,2023-03-01,US 202318116057 A;;US 202217665454 A;;US 202163146154 P,2021-02-05,Apparatus for a ground-based battery management for an electric aircraft,"An apparatus for a ground-based battery management for an electric aircraft is presented. The apparatus includes a battery pack mechanically coupled to the electric aircraft, the battery pack includes at least a battery module that includes at least a battery unit that includes battery cells and a thermal conduit configured to transfer heat between the battery cells and the thermal conduit and a thermal circuit mechanically coupled to the thermal conduit configured to facilitate the heat transfer using thermal media. The apparatus includes a media channel communicatively connected to a computing device and comprising at least a sensor, wherein the media channel is configured to evacuate the thermal media out of the battery pack using the thermal circuit and the computing device that includes a battery management system is configured to receive a condition parameter as a function of the at least a sensor of the media channel.",BETA AIR LLC,DONOVAN SEAN;;OVERFIELD SARAH KATHLEEN;;SCHREIBER STUART DENSON;;GOTTLIEB PETER ADAM;;LOHE BRAEDON;;WIEGMAN HERMAN,BETA AIR LLC (2024-02-14),https://lens.org/045-819-065-787-130,Granted Patent,yes,34,0,6,074-248-844-916-275;;190-291-030-038-505;;135-979-986-682-654;;045-819-065-787-130;;036-157-721-380-78X;;051-944-200-000-653,US;;WO,6,074-248-844-916-275;;190-291-030-038-505;;135-979-986-682-654;;045-819-065-787-130;;051-944-200-000-653;;036-157-721-380-78X,US;;WO,0,B60L50/64;;B60L2200/10;;B60L53/14;;B60L3/0046;;B60L58/21;;B60L58/26;;Y02E60/10;;B64D27/34;;B64D27/357;;B60L58/26;;B60L2240/36;;B60L2200/10;;B60L50/64;;B64D27/357;;B64D27/34,B60L58/26;;B60L50/64;;B64D27/24,,4,3,006-178-617-991-69X;;172-581-122-088-342;;045-592-535-315-346,10.1080/15567036.2019.1663307;;10.1016/j.apenergy.2018.01.098;;10.1016/j.apenergy.2020.114787,"Onkar Singh & Ragini Singh, Thermodynamic evaluation of SOFC-GT hybrid power and cooling system, Sep. 11, 2019.;;Azizi, M. A., & Brouwer, J. , Progress in solid oxide fuel cell-gas turbine hybrid power systems: System design and analysis, transient operation, controls and optimization, May 29, 2018.;;Collins, J. M., & McLarty, D., All-electric commercial aviation with solid oxide fuel cell-gas turbine-battery hybrids, Aug. 10, 2020.;;International Search Report for corresponding PCT Application No. PCT/US23/011963 dated Aug. 15, 2024, 11 pages.",ACTIVE
40,US,B2,US 11502353 B2,072-969-327-443-913,2022-11-15,2022,US 202016809223 A,2020-03-04,US 202016809223 A;;US 201962813454 P,2019-03-04,Thermal storage device for batteries,"A thermal storage device for batteries is provided. In some examples, the thermal storage device is provided for a battery pack that includes one or more rechargeable battery cells. In some examples, the lithium ion battery cells are used. The thermal storage device is in thermal contact with the battery cell. The thermal storage device is made of a material that absorbs heat that is given off by battery cells during discharge. In some examples, the thermal storage device is made of a plastic material. The material has a relatively low thermal conductivity but a relatively high specific heat capacity, allowing heat energy to be stored in the thermal storage device. The thermal storage device prevents the battery pack from overheating during use. The thermal storage device defines one or more cell receiving volumes. In some examples, an axially extending relief volume is provided.",THE TORO CO,HANSON BRIAN ALGOT;;KOLTZ PAUL FREDERICK;;ANDERSON ROBERT LUKE;;STROUD ADAM BURGHARDT,THE TORO COMPANY (2022-09-22),https://lens.org/072-969-327-443-913,Granted Patent,yes,17,3,6,162-166-445-613-497;;187-239-573-179-172;;072-969-327-443-913;;097-541-577-002-192;;075-964-419-794-477;;181-538-987-530-251,US,6,162-166-445-613-497;;187-239-573-179-172;;072-969-327-443-913;;097-541-577-002-192;;075-964-419-794-477;;181-538-987-530-251,US,0,H01M10/617;;H01M10/659;;H01M10/643;;H01M10/655;;H01M10/653;;Y02E60/10;;H01M50/213;;H01M10/659;;H01M10/0525;;H01M10/617,H01M10/617;;H01M10/0525;;H01M10/659,,4,0,,,"“CoolPoly D3612—PA6 Specification Sheet,” Celanese Corporation, updated Dec. 18, 2018 (2 pages).;;Novack, Scott “UAVs and the Balance of Power,” AllCell Technologies, Apr. 2017 (4 pages).;;“PCC Thermal Runaway and Thermal Management Cell Holder Product Sheet,” AllCell Technologies, 2019 (2 pages).;;“RAYMAX Panoramic Ultra Product Sheet,” Raytec Ltd, 2016 (3 pages).",ACTIVE
41,US,B2,US 12381511 B2,195-523-840-928-114,2025-08-05,2025,US 202318221547 A,2023-07-13,US 202318221547 A;;US 202318119344 A,2023-03-09,Heating system including photovoltaic thermal system,"A heating system includes a thermal battery, a heat pump configured to store heat in the thermal battery, a photovoltaic thermal system including a solar electric generator and a solar thermal generator, wherein the solar thermal generator is configured to store heat in the thermal battery and the solar electric generator is configured to generate electrical charge and a housing within which the thermal battery and the heat pump are disposed and atop which the photovoltaic thermal system is disposed.",INTELLIHOT INC,DEIVASIGAMANI SRIDHAR;;AKASAM SIVAPRASAD,,https://lens.org/195-523-840-928-114,Granted Patent,yes,4,0,2,088-119-977-283-034;;195-523-840-928-114,US,5,023-739-579-142-710;;019-178-438-468-547;;047-886-196-061-172;;195-523-840-928-114;;088-119-977-283-034,US,0,H02S40/44;;F24S10/00;;F24D2101/40;;F24D2200/02;;F24D18/00;;F24D2200/123;;F24D2220/08;;F24S2020/17;;Y02B10/70;;H02S40/44;;H02S20/30;;H02S40/32;;H02S40/38,H02S40/44;;H02S20/30;;H02S40/32;;H02S40/38,,0,0,,,,ACTIVE
